full_address,shape_X,shape_Y
"66 Green Street, Mosgiel",170.3610957,-45.87351742
"167 Main Road, Fairfield, Dunedin",170.3853978,-45.90072562
"28 Jason Street, Helensburgh, Dunedin",170.487044,-45.85175503
"297 Ravensbourne Road, Ravensbourne, Dunedin",170.5603891,-45.86442513
"345 Tomahawk Road, Ocean Grove, Dunedin",170.5508911,-45.90451602
"248 Tomahawk Road, Ocean Grove, Dunedin",170.541936,-45.90413298
"53 Howe Street, North Dunedin, Dunedin",170.517391,-45.86018697
"290 Kenmure Road, Kenmure, Dunedin",170.4698891,-45.88532277
"325 Kenmure Road, Kenmure, Dunedin",170.4678226,-45.88604728
"50 Mornington Road, Balaclava, Dunedin",170.4683478,-45.8904321
"115 Kenmure Road, Belleknowes, Dunedin",170.4759163,-45.87794487
"147 South Road, Caversham, Dunedin",170.487912,-45.89360797
"2 Hadley Close, Glenleith, Dunedin",170.502105,-45.84593503
"36 Sutherland Street, Dunedin Central, Dunedin",170.4935821,-45.87898417
"32 Bath Street, Brighton, Dunedin",170.3277523,-45.94823158
"1 Greenock Street, Kaikorai, Dunedin",170.4813735,-45.86673392
"47 Forfar Street, Mosgiel",170.3459533,-45.87631552
"58A Gordon Road, Mosgiel",170.3508133,-45.8804874
"54B Loyalty Street, Forbury, Dunedin",170.4896799,-45.89938085
"143B Macandrew Road, South Dunedin, Dunedin",170.4969864,-45.89832163
"9 Vulcan Road, Waldronville, Dunedin",170.4055777,-45.9230885
"24 Bright Street, Belleknowes, Dunedin",170.4810616,-45.87434582
"17 McIntosh Road, Brighton, Dunedin",170.3306276,-45.94596695
"10 Melville Street, Mosgiel",170.3376148,-45.87291642
"1 Balmoral Avenue, Mosgiel",170.3587555,-45.8824469
"4 Dunbar Place, Mosgiel",170.3594237,-45.87617992
"10 Clyde Street, Kinmont Park, Mosgiel",170.3553082,-45.89275952
"17 Kinmont Crescent, Kinmont Park, Mosgiel",170.355374,-45.89125317
"18 Saunders Street, Brockville, Dunedin",170.4563399,-45.86942925
"24 Herron Street, Brockville, Dunedin",170.460132,-45.86844087
"91 Riselaw Road, Calton Hill, Dunedin",170.4706251,-45.9005024
"151 Mulford Street, Concord, Dunedin",170.4662084,-45.9060921
"106 Surrey Street, Forbury, Dunedin",170.4867361,-45.8997252
"20 Waverley Street, South Dunedin, Dunedin",170.5013997,-45.89369553
"22 Waverley Street, South Dunedin, Dunedin",170.5014748,-45.89377182
"47 Rankeilor Street, South Dunedin, Dunedin",170.5000608,-45.89412987
"34 Rawhiti Street, Musselburgh, Dunedin",170.5185226,-45.89685045
"150 Belford Street, Waverley, Dunedin",170.5350051,-45.88420315
"34 Bellevue Place, Port Chalmers, Dunedin",170.6197907,-45.82386185
